Sr No.,User ID,Lot ID,Spot ID,Parking Timestamp,Leaving Timestamp,Price,Vehicle Number
1,2,1,1,2025-10-29 23:03:23.232695,2025-10-29 23:03:31.361850,0.06,tn123455
2,2,1,1,2025-10-29 23:03:45.973999,2025-11-10 15:08:00.624347,9802.48,tn123455
3,2,4,69,2025-10-30 19:44:32.140943,2025-11-10 15:07:57.612345,778171.23,vsr34502
4,2,1,1,2025-11-10 15:08:11.014937,2025-11-10 17:03:42.603320,67.39,tn123455
5,2,1,1,2025-11-10 17:03:54.789371,2025-11-10 17:04:02.132432,0.07,tn123455
6,2,1,1,2025-11-10 17:05:45.927587,2025-11-10 18:10:08.743147,37.56,tn123455
7,2,1,2,2025-11-10 15:39:52.967965,2025-11-10 18:09:58.725409,87.56,vsr34502
8,2,1,1,2025-11-10 18:10:24.112735,2025-11-10 18:10:32.222182,0.08,tn123455
9,2,1,1,2025-11-10 19:02:48.106463,2025-11-10 19:30:24.638699,16.11,tn123455
10,2,4,69,2025-11-10 19:02:56.606511,2025-11-11 12:44:47.436647,53092.36,vsr34502
11,2,5,95,2025-11-10 19:03:03.203303,2025-11-11 12:44:40.528156,3538.74,tn123466
12,2,1,1,2025-11-12 11:05:16.505918,2025-11-13 07:53:01.610025,727.86,tn123455
13,2,4,69,2025-11-12 14:44:52.946897,2025-11-13 07:52:58.206141,51404.38,vsr34502
14,3,1,1,2025-11-13 08:33:18.142323,2025-11-13 22:06:21.418606,474.28,vsr34502
15,3,4,69,2025-11-13 08:33:25.710128,2025-11-13 22:06:18.216669,40643.76,tn123455
16,2,1,2,2025-11-13 08:34:28.245799,2025-11-13 14:15:59.538626,199.22,tn123466
17,2,1,2,2025-11-13 14:16:17.776943,2025-11-13 14:16:23.193139,0.05,tn123466
18,3,4,69,2025-11-13 22:06:35.575980,2025-11-15 08:46:04.852603,103974.4,tn123455
19,2,4,69,2025-11-15 15:08:59.859023,2025-11-15 15:13:59.399556,249.62,tn123455
20,2,4,69,2025-11-15 15:32:00.496197,2025-11-15 15:39:28.212980,373.1,tn123455
21,2,1,1,2025-11-15 15:38:58.964400,2025-11-15 15:44:51.324623,3.43,vsr34502
22,2,1,1,2025-11-15 15:46:36.042640,2025-11-15 15:51:01.299373,2.58,vsr34502
23,2,4,69,2025-11-15 15:50:13.086346,2025-11-15 16:02:05.358711,593.56,tn123455
24,2,5,95,2025-11-15 16:01:33.598128,2025-11-15 16:10:05.758474,2.85,tn123466
25,2,4,69,2025-11-15 16:09:30.078943,,,vsr34502
26,4,4,70,2025-11-15 16:17:03.833460,,,sr123456
